iter	Passed	Remaining
0	166	166724
1	167	83731
2	168	55990
3	169	42100
4	169	33761
5	170	28202
6	170	24257
7	171	21314
8	172	19044
9	173	17202
10	174	15712
11	175	14458
12	176	13381
13	176	12448
14	177	11657
15	178	10961
16	178	10348
17	179	9797
18	180	9315
19	181	8873
20	181	8469
21	182	8107
22	182	7761
23	183	7453
24	183	7171
25	184	6918
26	185	6689
27	186	6461
28	186	6258
29	187	6069
30	188	5895
31	189	5728
32	190	5576
33	190	5423
34	191	5280
35	192	5148
36	193	5023
37	193	4905
38	194	4796
39	195	4690
40	196	4590
41	197	4493
42	197	4395
43	198	4306
44	198	4217
45	199	4130
46	200	4056
47	201	3988
48	201	3918
49	202	3848
50	203	3780
51	203	3709
52	204	3647
53	205	3592
54	206	3539
55	206	3486
56	207	3430
57	208	3378
58	208	3328
59	209	3282
60	210	3234
61	211	3193
62	211	3147
63	212	3106
64	213	3064
65	213	3025
66	214	2988
67	215	2950
68	215	2912
69	216	2877
70	217	2841
71	217	2807
72	218	2773
73	219	2740
74	219	2709
75	220	2678
76	221	2649
77	221	2621
78	222	2594
79	223	2566
80	223	2538
81	224	2511
82	224	2485
83	225	2460
84	226	2435
85	226	2411
86	227	2388
87	228	2365
88	228	2343
89	229	2320
90	230	2299
91	231	2280
92	231	2261
93	232	2241
94	233	2220
95	233	2200
96	233	2178
97	234	2159
98	235	2141
99	235	2123
100	236	2103
101	236	2085
102	237	2068
103	238	2052
104	239	2037
105	239	2022
106	240	2007
107	241	1993
108	242	1980
109	243	1966
110	243	1952
111	244	1937
112	244	1920
113	245	1906
114	245	1892
115	246	1878
116	247	1865
117	247	1852
118	248	1839
119	249	1827
120	249	1813
121	250	1799
122	250	1786
123	251	1774
124	251	1762
125	252	1751
126	253	1740
127	253	1728
128	254	1717
129	255	1706
130	255	1695
131	256	1685
132	257	1675
133	257	1666
134	258	1655
135	259	1645
136	259	1635
137	260	1624
138	260	1613
139	261	1604
140	261	1594
141	262	1585
142	262	1575
143	263	1566
144	264	1557
145	264	1548
146	265	1540
147	266	1532
148	266	1523
149	267	1515
150	268	1507
151	268	1498
152	269	1490
153	269	1482
154	270	1473
155	270	1465
156	271	1457
157	272	1450
158	272	1442
159	273	1434
160	273	1427
161	274	1420
162	275	1413
163	275	1405
164	276	1398
165	277	1391
166	277	1383
167	277	1376
168	278	1369
169	279	1362
170	279	1355
171	280	1349
172	280	1343
173	281	1336
174	282	1330
175	282	1324
176	283	1318
177	284	1312
178	284	1306
179	285	1300
180	286	1294
181	286	1288
182	287	1282
183	287	1276
184	288	1270
185	289	1265
186	289	1259
187	290	1253
188	290	1248
189	291	1243
190	292	1238
191	292	1232
192	293	1227
193	294	1221
194	294	1216
195	295	1211
196	295	1206
197	296	1200
198	297	1195
199	297	1190
200	298	1185
201	298	1180
202	299	1175
203	299	1170
204	300	1165
205	301	1161
206	301	1156
207	302	1151
208	303	1146
209	303	1142
210	304	1137
211	304	1132
212	305	1128
213	306	1124
214	306	1119
215	307	1115
216	307	1110
217	308	1106
218	309	1102
219	309	1097
220	310	1093
221	310	1089
222	311	1085
223	312	1081
224	312	1076
225	313	1072
226	313	1068
227	314	1064
228	315	1061
229	315	1057
230	316	1053
231	316	1049
232	317	1045
233	318	1041
234	318	1038
235	319	1034
236	320	1030
237	320	1025
238	321	1022
239	321	1018
240	322	1015
241	323	1011
242	323	1008
243	324	1004
244	324	1001
245	325	997
246	326	994
247	326	991
248	327	987
249	328	984
250	328	980
251	329	977
252	329	973
253	330	970
254	331	967
255	331	963
256	332	960
257	332	957
258	333	954
259	334	950
260	334	947
261	335	944
262	336	941
263	336	939
264	337	935
265	338	932
266	338	930
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	908
274	343	905
275	344	903
276	344	900
277	345	897
278	346	894
279	346	891
280	347	888
281	347	885
282	348	882
283	349	880
284	349	877
285	350	874
286	351	872
287	351	870
288	352	868
289	353	866
290	354	864
291	355	862
292	356	859
293	356	856
294	357	854
295	358	851
296	358	848
297	359	846
298	359	843
299	360	841
300	361	838
301	361	836
302	362	833
303	363	831
304	363	828
305	364	826
306	365	824
307	365	821
308	366	819
309	367	817
310	367	814
311	368	812
312	368	809
313	369	807
314	370	805
315	371	803
316	371	800
317	372	798
318	372	795
319	373	793
320	374	791
321	374	789
322	375	786
323	375	784
324	376	782
325	377	779
326	377	777
327	378	775
328	379	773
329	379	771
330	380	768
331	380	766
332	381	764
333	382	761
334	382	759
335	383	757
336	384	755
337	384	753
338	385	751
339	385	748
340	386	747
341	387	745
342	387	743
343	388	741
344	389	739
345	389	737
346	390	734
347	391	732
348	391	730
349	392	728
350	392	726
351	393	724
352	394	722
353	394	720
354	395	718
355	396	716
356	396	714
357	397	712
358	398	710
359	398	708
360	399	706
361	399	704
362	400	703
363	401	700
364	401	699
365	402	697
366	403	695
367	404	693
368	404	692
369	405	690
370	405	688
371	406	686
372	407	684
373	407	682
374	408	680
375	408	678
376	409	676
377	410	674
378	410	673
379	411	671
380	411	669
381	412	667
382	413	665
383	414	664
384	414	662
385	415	660
386	416	659
387	417	658
388	418	656
389	418	655
390	419	653
391	420	651
392	420	649
393	421	648
394	422	646
395	422	644
396	423	643
397	424	641
398	424	639
399	425	637
400	425	636
401	426	634
402	427	632
403	427	631
404	428	629
405	428	627
406	429	625
407	430	624
408	431	623
409	431	621
410	432	619
411	433	618
412	433	616
413	434	614
414	434	612
415	435	611
416	436	609
417	436	608
418	437	606
419	437	604
420	438	602
421	439	601
422	439	599
423	440	598
424	441	596
425	441	595
426	442	593
427	442	591
428	443	590
429	444	588
430	444	587
431	445	585
432	445	583
433	446	582
434	447	580
435	448	579
436	448	577
437	449	576
438	449	574
439	450	573
440	451	571
441	451	570
442	452	568
443	452	566
444	453	565
445	454	563
446	454	562
447	455	560
448	455	559
449	456	558
450	457	556
451	458	555
452	458	553
453	459	552
454	459	550
455	460	549
456	460	547
457	461	546
458	462	544
459	462	543
460	463	541
461	464	540
462	464	539
463	465	537
464	466	536
465	466	534
466	467	533
467	467	531
468	468	530
469	469	529
470	469	527
471	470	526
472	471	525
473	472	524
474	473	523
475	474	522
476	475	521
477	476	520
478	477	518
479	477	517
480	478	516
481	479	515
482	480	514
483	481	513
484	482	512
485	483	511
486	484	510
487	485	509
488	487	509
489	487	507
490	488	506
491	490	506
492	490	504
493	491	503
494	492	502
495	493	501
496	493	499
497	494	498
498	494	496
499	495	495
500	495	493
501	496	492
502	497	491
503	497	489
504	498	488
505	499	487
506	499	486
507	500	484
508	501	483
509	501	482
510	502	480
511	502	479
512	503	478
513	504	476
514	504	475
515	505	473
516	505	472
517	506	471
518	507	469
519	507	468
520	508	467
521	509	466
522	509	464
523	510	463
524	510	462
525	511	461
526	512	459
527	512	458
528	513	457
529	514	455
530	514	454
531	515	453
532	516	452
533	516	451
534	517	449
535	518	448
536	518	447
537	519	445
538	519	444
539	520	443
540	521	442
541	521	440
542	522	439
543	522	438
544	523	437
545	524	435
546	524	434
547	525	433
548	526	432
549	526	431
550	527	429
551	528	428
552	528	427
553	529	426
554	529	424
555	530	423
556	531	422
557	531	421
558	532	419
559	532	418
560	533	417
561	534	416
562	534	415
563	535	413
564	536	412
565	536	411
566	537	410
567	537	409
568	538	407
569	539	407
570	540	405
571	540	404
572	541	403
573	542	402
574	542	401
575	543	399
576	544	398
577	544	397
578	545	396
579	546	395
580	546	394
581	547	393
582	547	391
583	548	390
584	548	389
585	549	388
586	550	387
587	550	385
588	551	384
589	552	383
590	553	382
591	553	381
592	554	380
593	555	379
594	555	378
595	556	377
596	557	376
597	557	374
598	558	373
599	558	372
600	559	371
601	560	370
602	560	369
603	561	368
604	562	366
605	562	365
606	563	364
607	563	363
608	564	362
609	565	361
610	565	360
611	566	359
612	567	357
613	567	356
614	568	355
615	568	354
616	569	353
617	570	352
618	570	351
619	571	350
620	571	348
621	572	347
622	573	346
623	573	345
624	574	344
625	574	343
626	575	342
627	576	341
628	576	340
629	577	339
630	578	338
631	578	336
632	579	335
633	579	334
634	580	333
635	581	332
636	581	331
637	582	330
638	582	329
639	583	328
640	584	327
641	584	326
642	585	325
643	586	324
644	586	323
645	587	321
646	588	320
647	588	319
648	589	318
649	589	317
650	590	316
651	591	315
652	591	314
653	592	313
654	593	312
655	593	311
656	594	310
657	594	309
658	595	308
659	596	307
660	596	306
661	597	305
662	598	303
663	598	302
664	599	301
665	599	300
666	600	299
667	600	298
668	601	297
669	602	296
670	602	295
671	603	294
672	604	293
673	604	292
674	605	291
675	606	290
676	606	289
677	607	288
678	607	287
679	608	286
680	609	285
681	609	284
682	610	283
683	610	282
684	611	281
685	612	280
686	612	279
687	613	278
688	614	277
689	614	276
690	615	275
691	615	274
692	616	273
693	617	272
694	617	271
695	618	270
696	618	269
697	619	268
698	620	266
699	620	266
700	621	265
701	622	264
702	622	263
703	623	262
704	624	261
705	624	260
706	625	259
707	626	258
708	626	257
709	627	256
710	627	255
711	628	254
712	629	253
713	629	252
714	630	251
715	631	250
716	631	249
717	632	248
718	632	247
719	633	246
720	634	245
721	634	244
722	635	243
723	636	242
724	636	241
725	637	240
726	637	239
727	638	238
728	639	237
729	639	236
730	640	235
731	641	234
732	641	233
733	642	232
734	642	231
735	643	230
736	644	229
737	644	228
738	645	227
739	645	226
740	646	225
741	647	225
742	647	224
743	648	223
744	649	222
745	649	221
746	650	220
747	650	219
748	651	218
749	652	217
750	652	216
751	653	215
752	653	214
753	654	213
754	655	212
755	655	211
756	656	210
757	657	209
758	657	208
759	658	207
760	658	206
761	659	206
762	660	205
763	660	204
764	661	203
765	662	202
766	662	201
767	663	200
768	663	199
769	664	198
770	665	197
771	666	196
772	666	195
773	667	194
774	667	193
775	668	192
776	669	192
777	669	191
778	670	190
779	670	189
780	671	188
781	672	187
782	672	186
783	673	185
784	674	184
785	674	183
786	675	182
787	676	181
788	676	180
789	677	180
790	678	179
791	678	178
792	679	177
793	680	176
794	680	175
795	681	174
796	682	173
797	683	172
798	683	172
799	684	171
800	684	170
801	685	169
802	686	168
803	686	167
804	687	166
805	688	165
806	688	164
807	689	163
808	690	163
809	691	162
810	692	161
811	692	160
812	693	159
813	694	158
814	694	157
815	695	156
816	695	155
817	696	154
818	697	154
819	698	153
820	698	152
821	699	151
822	699	150
823	700	149
824	701	148
825	702	147
826	702	146
827	703	146
828	704	145
829	704	144
830	705	143
831	706	142
832	706	141
833	707	140
834	707	139
835	708	139
836	709	138
837	710	137
838	711	136
839	711	135
840	712	134
841	712	133
842	713	132
843	714	131
844	714	131
845	715	130
846	716	129
847	717	128
848	717	127
849	718	126
850	719	125
851	720	125
852	720	124
853	721	123
854	722	122
855	722	121
856	723	120
857	724	119
858	724	118
859	725	118
860	726	117
861	726	116
862	727	115
863	728	114
864	728	113
865	729	112
866	729	111
867	730	111
868	731	110
869	731	109
870	732	108
871	733	107
872	734	106
873	734	105
874	735	105
875	736	104
876	736	103
877	737	102
878	738	101
879	738	100
880	739	99
881	740	99
882	740	98
883	741	97
884	742	96
885	742	95
886	743	94
887	744	93
888	744	92
889	745	92
890	746	91
891	747	90
892	747	89
893	748	88
894	749	87
895	749	87
896	750	86
897	750	85
898	751	84
899	752	83
900	753	82
901	753	81
902	754	81
903	755	80
904	755	79
905	756	78
906	756	77
907	757	76
908	758	75
909	759	75
910	759	74
911	760	73
912	761	72
913	762	71
914	763	70
915	763	70
916	764	69
917	765	68
918	766	67
919	766	66
920	767	65
921	768	64
922	768	64
923	769	63
924	770	62
925	771	61
926	771	60
927	772	59
928	773	59
929	773	58
930	774	57
931	774	56
932	775	55
933	776	54
934	777	54
935	777	53
936	778	52
937	778	51
938	779	50
939	780	49
940	780	48
941	781	48
942	781	47
943	782	46
944	783	45
945	784	44
946	784	43
947	785	43
948	785	42
949	786	41
950	787	40
951	787	39
952	788	38
953	789	38
954	790	37
955	790	36
956	791	35
957	792	34
958	792	33
959	793	33
960	793	32
961	794	31
962	795	30
963	796	29
964	797	28
965	797	28
966	798	27
967	799	26
968	799	25
969	800	24
970	801	23
971	802	23
972	802	22
973	803	21
974	804	20
975	804	19
976	805	18
977	806	18
978	807	17
979	808	16
980	808	15
981	809	14
982	810	14
983	810	13
984	811	12
985	812	11
986	813	10
987	814	9
988	815	9
989	815	8
990	816	7
991	817	6
992	817	5
993	818	4
994	819	4
995	820	3
996	820	2
997	821	1
998	822	0
999	822	0
